WellName   X   Y   Z   MD   MarkerName
02905848 6112225.5003921622 2239279.0001896732 -2037.5159155978304 3554.26001 B_UD
02905848 6112225.5003921622 2239279.0001896732 -2125.9458046259842 3642.68994 Top_Diatomite
02905848 6112225.5003921622 2239279.0001896732 -2144.0959539939099 3660.84009 Bottom_Sandy_1
02905848 6112225.5003921622 2239279.0001896732 -2155.7058499554009 3672.44995 Top_Sandy_2
02905848 6112225.5003921622 2239279.0001896732 -2178.5659990285635 3695.31006 Bottom_Sandy_2
02905848 6112225.5003921622 2239279.0001896732 -2189.9157746883202 3706.65991 Top_Sandy_3
02905848 6112225.5003921622 2239279.0001896732 -2200.2559071137835 3717 Bottom_Sandy_3
02905848 6112225.5003921622 2239279.0001896732 -2213.4960104474244 3730.23999 Top_Sandy_4
02905848 6112225.5003921622 2239279.0001896732 -2261.9060205975229 3778.6499 Bottom_Sandy_4
02905848 6112225.5003921622 2239279.0001896732 -2271.3660693231213 3788.11011 Top_Sandy_5
02905848 6112225.5003921622 2239279.0001896732 -2317.8162662375939 3834.56006 Bottom_Sandy_5
02905848 6112225.5003921622 2239279.0001896732 -2329.1658416507748 3845.90991 Top_Sandy_6
02905848 6112225.5003921622 2239279.0001896732 -2339.7658941313975 3856.51001 Bottom_Sandy_6
02905848 6112225.5003921622 2239279.0001896732 -2348.8458748564631 3865.59009 Delta_A
02905848 6112225.5003921622 2239279.0001896732 -2551.9860134975802 4068.72998 Bottom_Diatomite
02923678 6112580.4999243859 2236764.0001191865 1285.7978800776123 229.813004 PM_Unc
02923682 6112146.4999141339 2236536.9998000734 1233.673596319564 307.010986 PM_Unc
02923685 6111702.5003908807 2236791.000165964 1317.84464117736 235.018005 PM_Unc
02923982 6114507.4999551438 2234616.7500813799 1127.6415326776778 299.104004 B_UD
02923982 6114507.4999551438 2234616.7500813799 960.68074384073566 466.065002 Top_Diatomite
02923982 6114507.4999551438 2234616.7500813799 941.82772899237193 484.917999 Bottom_Sandy_1
02923982 6114507.4999551438 2234616.7500813799 926.53259517639628 500.213013 Top_Sandy_2
02923982 6114507.4999551438 2234616.7500813799 899.47067220692861 527.275024 Bottom_Sandy_2
02923982 6114507.4999551438 2234616.7500813799 878.51667028712461 548.229004 Top_Sandy_3
02923982 6114507.4999551438 2234616.7500813799 851.34571305723011 575.400024 Bottom_Sandy_3
02923982 6114507.4999551438 2234616.7500813799 822.99265022978682 603.752991 Top_Sandy_4
02923982 6114507.4999551438 2234616.7500813799 784.00664442167499 642.739014 Bottom_Sandy_4
02923982 6114507.4999551438 2234616.7500813799 774.55570691526714 652.190002 Top_Sandy_5
02923982 6114507.4999551438 2234616.7500813799 736.75170658141599 689.994019 Bottom_Sandy_5
02923982 6114507.4999551438 2234616.7500813799 724.34768276264651 702.39801 Top_Sandy_6
02923982 6114507.4999551438 2234616.7500813799 706.62666180628173 720.119019 Bottom_Sandy_6
02923982 6114507.4999551438 2234616.7500813799 693.65974486343498 733.085999 Delta_A
02923982 6114507.4999551438 2234616.7500813799 430.03567873336505 996.710022 Bottom_Diatomite
02923983 6114478.5002460619 2235089.7501147012 1193.7308123731236 257.806 B_UD
02923983 6114478.5002460619 2235089.7501147012 1026.7698232896057 424.766998 Top_Diatomite
02923983 6114478.5002460619 2235089.7501147012 1008.8938114837084 442.643005 Bottom_Sandy_1
02923983 6114478.5002460619 2235089.7501147012 998.30477256474524 453.231995 Top_Sandy_2
02923983 6114478.5002460619 2235089.7501147012 974.77279623036611 476.764008 Bottom_Sandy_2
02923983 6114478.5002460619 2235089.7501147012 928.13486815124656 523.401978 Bottom_Sandy_3
02923983 6114478.5002460619 2235089.7501147012 854.88977707590004 596.646973 Top_Sandy_5
02923983 6114478.5002460619 2235089.7501147012 828.89882285451006 622.638 Bottom_Sandy_5
02923983 6114478.5002460619 2235089.7501147012 810.58782542471488 640.948975 Top_Sandy_6
02923983 6114478.5002460619 2235089.7501147012 795.22981418399354 656.307007 Bottom_Sandy_6
02923983 6114478.5002460619 2235089.7501147012 777.20081399432001 674.335999 Delta_A
02923983 6114478.5002460619 2235089.7501147012 499.08975916584643 952.447021 Bottom_Diatomite
02971860 6113616.4996129628 2238310.7503255205 -1996.8584516229903 3517.3501 B_UD
02971860 6113616.4996129628 2238310.7503255205 -2094.8785496508981 3615.37012 Top_Diatomite
02971860 6113616.4996129628 2238310.7503255205 -2114.9985245832304 3635.48999 Bottom_Sandy_1
02971860 6113616.4996129628 2238310.7503255205 -2127.8685722451196 3648.36011 Top_Sandy_2
02971860 6113616.4996129628 2238310.7503255205 -2155.1085144203162 3675.6001 Bottom_Sandy_2
02971860 6113616.4996129628 2238310.7503255205 -2166.4584903266482 3686.94995 Top_Sandy_3
02971860 6113616.4996129628 2238310.7503255205 -2195.2185042574019 3715.70996 Bottom_Sandy_3
02971860 6113616.4996129628 2238310.7503255205 -2200.5182301278501 3721.01001 Top_Sandy_4
02971860 6113616.4996129628 2238310.7503255205 -2261.0585770894845 3781.55005 Bottom_Sandy_4
02971860 6113616.4996129628 2238310.7503255205 -2272.4083527492412 3792.8999 Top_Sandy_5
02971860 6113616.4996129628 2238310.7503255205 -2328.4085091017673 3848.8999 Bottom_Sandy_5
02971860 6113616.4996129628 2238310.7503255205 -2339.7586852546751 3860.25 Top_Sandy_6
02971860 6113616.4996129628 2238310.7503255205 -2352.6287329165639 3873.12012 Bottom_Sandy_6
02971860 6113616.4996129628 2238310.7503255205 -2361.7085133950541 3882.19995 Delta_A
02971860 6113616.4996129628 2238310.7503255205 -2584.9884513794905 4105.47998 Bottom_Diatomite
02975904 6113370.499898755 2235652.7501704497 892.41077893675151 564.143005 Top_Sandy_2
02975904 6113370.499898755 2235652.7501704497 841.89467542753437 614.658997 Top_Sandy_3
02975904 6113370.499898755 2235652.7501704497 809.99669753347473 646.557007 Bottom_Sandy_3
02975904 6113370.499898755 2235652.7501704497 788.73276397624966 667.820984 Top_Sandy_4
02975904 6113370.499898755 2235652.7501704497 759.19769567454568 697.356018 Bottom_Sandy_4
02975904 6113370.499898755 2235652.7501704497 748.56570386511123 707.987976 Top_Sandy_5
02975904 6113370.499898755 2235652.7501704497 714.30571748828629 742.247986 Bottom_Sandy_5
02975904 6113370.499898755 2235652.7501704497 694.81271458423032 761.741028 Top_Sandy_6
02975904 6113370.499898755 2235652.7501704497 678.27374916377028 778.280029 Bottom_Sandy_6
02975904 6113370.499898755 2235652.7501704497 664.01564230130407 792.538025 Delta_A
02975904 6113370.499898755 2235652.7501704497 426.23379724857995 1030.31995 Bottom_Diatomite
02984350 6114235.500225557 2235006.7499115709 1406.3205869179071 0 Elev
02984350 6114235.500225557 2235006.7499115709 1264.9666293086655 141.354004 PM_Unc
02984350 6114234.4997936655 2235006.9998192973 1165.9039474847748 240.427002 B_UD
02984350 6114227.999789821 2235007.7499429695 1011.1173494594302 395.424988 Top_Diatomite
02984350 6114225.9997270228 2235007.7499429695 993.00985261211235 413.61499 Bottom_Sandy_1
02984350 6114224.5002806652 2235007.7499429695 977.12539312407716 429.572998 Top_Sandy_2
02984350 6114222.3936866894 2235007.7499429695 953.59441802257618 453.213013 Bottom_Sandy_2
02984350 6114219.5109369867 2235007.999850696 926.95291273862972 479.977997 Top_Sandy_3
02984350 6114216.9998449283 2235007.999850696 898.60030046598172 508.462006 Bottom_Sandy_3
02984350 6114214.9997821311 2235007.999850696 878.51727102685152 528.640015 Top_Sandy_4
02984350 6114210.9996565366 2235007.999850696 838.35056134722038 569.01001 Bottom_Sandy_4
02984350 6114209.5002101781 2235007.999850696 826.53636381694957 580.883972 Top_Sandy_5
02984350 6114206.2474048035 2235007.999850696 791.09472239737113 616.505005 Bottom_Sandy_5
02984350 6114204.4996526921 2235007.999850696 772.78332447442472 634.908997 Top_Sandy_6
02984350 6114202.5003908807 2235007.7499429695 751.51889030076063 656.281006 Bottom_Sandy_6
02984350 6114201.1603407962 2235007.7499429695 742.16722503421806 665.679993 Delta_A
02984350 6114175.4999436103 2235008.5000666417 473.97928913747228 935.10199 Bottom_Diatomite
02989838 6114794.4997552177 2235390.7499538627 1304.2027430897308 116.073997 PM_Unc
02989838 6114794.4997552177 2235390.7499538627 1261.558833084707 158.718002 B_UD
02989838 6114794.4997552177 2235390.7499538627 1105.0327931802103 315.243988 Top_Diatomite
02989838 6114794.4997552177 2235390.7499538627 1085.9608087014024 334.31601 Bottom_Sandy_1
02989838 6114794.4997552177 2235390.7499538627 1073.6067964648948 346.670013 Top_Sandy_2
02989838 6114794.4997552177 2235390.7499538627 1055.9577641524668 364.319 Bottom_Sandy_2
02989838 6114794.4997552177 2235390.7499538627 998.25871585235188 422.018005 FaultSearch
02989838 6114794.4997552177 2235390.7499538627 970.66373649857474 449.613007 Bottom_Sandy_3
02989838 6114794.4997552177 2235390.7499538627 947.03674316406239 473.23999 Top_Sandy_4
02989838 6114794.4997552177 2235390.7499538627 921.04674011390659 499.230011 Bottom_Sandy_4
02989838 6114794.4997552177 2235390.7499538627 909.2326927685674 511.044006 Top_Sandy_5
02989838 6114794.4997552177 2235390.7499538627 870.2476881933336 550.028992 Bottom_Sandy_5
02989838 6114794.4997552177 2235390.7499538627 848.39177569692208 571.88501 Top_Sandy_6
02989838 6114794.4997552177 2235390.7499538627 835.39672411020024 584.880005 Bottom_Sandy_6
02989838 6114794.4997552177 2235390.7499538627 812.23475338592925 608.041992 Delta_A
02989838 6114794.4997552177 2235390.7499538627 521.06171455283175 899.215027 Bottom_Diatomite
03000732 6114914.5003191121 2234832.7500551078 1410.9681096915497 0 Elev
03000732 6114914.5003191121 2234832.7500551078 1252.4111690170807 158.557007 PM_Unc
03000732 6114914.5003191121 2234832.7500551078 1200.6870780404158 210.281021 B_UD
03000732 6114914.5003191121 2234832.7500551078 1123.271151164698 287.696991 FaultSearch
03000732 6114914.5003191121 2234832.7500551078 1012.8566912152947 398.112 Top_Diatomite
03000732 6114914.5003191121 2234832.5001473813 987.71503278276725 423.255005 Bottom_Sandy_1
03000732 6114914.5003191121 2234832.5001473813 971.24304984185312 439.730011 Top_Sandy_2
03000732 6114913.4998872206 2234832.7500551078 944.18162748882457 466.799011 Bottom_Sandy_2
03000732 6114913.0000717677 2234832.9999628342 919.86548556430432 491.122009 Top_Sandy_3
03000732 6114911.9996398762 2234833.9999942328 887.96790816339603 523.059021 Bottom_Sandy_3
03000732 6114911.1001322586 2234835.0000256314 863.1591596628424 547.900024 Top_Sandy_4
03000732 6114910.0003780648 2234837.0000884286 826.53681437174475 584.627014 Bottom_Sandy_4
03000732 6114908.9999461733 2234837.4999038815 817.08507587903432 594.109985 Top_Sandy_5
03000732 6114906.5000679232 2234840.9998135301 775.73706158815708 635.666016 Bottom_Sandy_5
03000732 6114905.4996360308 2234842.5000608745 759.78867338085422 651.736023 Top_Sandy_6
03000732 6114904.500005126 2234843.999907726 745.61176650480331 666.020996 Bottom_Sandy_6
03000732 6114903.5003742203 2234845.0688239466 734.0826199749323 677.638 Delta_A
03000732 6114879.4996206518 2234880.7499602707 478.68723631530918 936.728027 Bottom_Diatomite
03000733 6114787.4999359204 2234580.7501525073 1219.3761910666317 205.031998 PM_Unc
03000733 6114787.4999359204 2234580.7501525073 1150.2511732847358 274.157013 B_UD
03000733 6114787.4999359204 2234580.7501525073 972.85523502219678 451.553009 Top_Diatomite
03000733 6114787.4999359204 2234580.7501525073 952.41716840448646 471.990997 Bottom_Sandy_1
03000733 6114787.4999359204 2234580.7501525073 935.94508534028455 488.463013 Top_Sandy_2
03000733 6114787.4999359204 2234580.7501525073 908.88316237081688 515.525024 Bottom_Sandy_2
03000733 6114787.4999359204 2234580.7501525073 884.42424463787722 539.984009 Top_Sandy_3
03000733 6114787.4999359204 2234580.7501525073 853.70812203314665 570.700012 Bottom_Sandy_3
03000733 6114787.4999359204 2234580.7501525073 831.26218300166079 593.145996 Top_Sandy_4
03000733 6114787.4999359204 2234580.7501525073 798.1832008662185 626.224976 Bottom_Sandy_4
03000733 6114787.4999359204 2234580.7501525073 787.55115899514021 636.856995 Top_Sandy_5
03000733 6114787.4999359204 2234580.7501525073 749.74715866128906 674.661011 Bottom_Sandy_5
03000733 6114787.4999359204 2234580.7501525073 730.25420581887704 694.153992 Top_Sandy_6
03000733 6114787.4999359204 2234580.7501525073 713.71519033677305 710.692993 Bottom_Sandy_6
03000733 6114787.4999359204 2234580.7501525073 699.04918119976207 725.359009 Delta_A
03000733 6114787.4999359204 2234580.7501525073 423.75814883414836 1000.65002 Bottom_Diatomite
03000734 6114532.500339618 2234917.7499205419 1285.3320064194245 182.776993 PM_Unc
03000734 6114532.500339618 2234917.7499205419 1179.8168793125101 288.291992 B_UD
03000734 6114532.500339618 2234917.7499205419 1011.116948966279 456.992004 Top_Diatomite
03000734 6114532.500339618 2234917.7499205419 991.83290336388609 476.276001 Bottom_Sandy_1
03000734 6114532.500339618 2234917.7499205419 978.30294311203033 489.806 Top_Sandy_2
03000734 6114532.500339618 2234917.7499205419 952.41796939078893 515.690979 Bottom_Sandy_2
03000734 6114532.500339618 2234917.7499205419 928.13496827453446 539.973999 Top_Sandy_3
03000734 6114532.500339618 2234917.7499205419 902.14496522437855 565.963989 Bottom_Sandy_3
03000734 6114532.500339618 2234917.7499205419 884.42394426801377 583.684998 Top_Sandy_4
03000734 6114532.500339618 2234917.7499205419 850.16385776790094 617.945007 Bottom_Sandy_4
03000734 6114532.500339618 2234917.7499205419 832.44293693482393 635.666016 Top_Sandy_5
03000734 6114532.500339618 2234917.7499205419 794.63898666261684 673.469971 Bottom_Sandy_5
03000734 6114532.500339618 2234917.7499205419 775.14698499143901 692.961975 Top_Sandy_6
03000734 6114532.500339618 2234917.7499205419 750.25198027843555 717.856995 Delta_A
03000734 6114532.500339618 2234917.7499205419 491.24289685346946 976.866028 Bottom_Diatomite
03000763 6114408.4996501282 2234617.7501127785 1443.4441994494339 0 Elev
03000763 6114408.4996501282 2234617.7501127785 1288.5082174786744 154.936005 PM_Unc
03000763 6114408.4996501282 2234617.7501127785 1145.0331480171424 298.411011 B_UD
03000763 6114408.4996501282 2234618.0000205049 964.15912698260115 479.286011 Top_Diatomite
03000763 6114408.4996501282 2234618.0000205049 942.41635380141679 501.029999 Bottom_Sandy_1
03000763 6114409.0002665678 2234617.7501127785 926.53259517639628 516.914978 Top_Sandy_2
03000763 6114409.0002665678 2234617.2498968327 900.64732108529154 542.80603 Bottom_Sandy_2
03000763 6114409.0002665678 2234617.2498968327 874.97330713146937 568.487 Top_Sandy_3
03000763 6114407.9998346753 2234618.2499282314 843.07582985384875 600.406006 Bottom_Sandy_3
03000763 6114407.9998346753 2234618.4998359578 821.81079494045775 621.684021 Top_Sandy_4
03000763 6114407.5000192234 2234619.24995963 789.91421877242749 653.59198 Bottom_Sandy_4
03000763 6114407.0002037706 2234619.4998673564 775.7373118963767 667.773987 Top_Sandy_5
03000763 6114407.5000192234 2234620.0000833021 739.11511679021066 704.401978 Bottom_Sandy_5
